table,column,displayName,isNullable,showInList,dataType,length,position,dafaultValue,relationTable,relationType,link,columnInForm
projects,id,ID,FALSE,TRUE,int,10,1,,,,,1
projects,work_name,Work Name,FALSE,TRUE,varchar,255,2,,,,,1
projects,client,Client,FALSE,TRUE,varchar,255,3,,,,,1
projects,agency,Agency,FALSE,TRUE,varchar,255,4,,,,,1
projects,thumbnail,Thumbnail,FALSE,TRUE,file_image,,5,,,,,1
projects,video_url,Video URL,FALSE,TRUE,varchar,255,6,,,,,1
projects,editor,Editor,FALSE,TRUE,int,10,7,,editors,one,,1
projects,director,Director,TRUE,TRUE,varchar,255,8,,,,,1
projects,featured,Show as featured work,FALSE,TRUE,boolean,,9,,,,,1
projects,active,Display on webpage,FALSE,TRUE,boolean,,10,,,,,1
projects,order,Order (Bigger to smaller),FALSE,TRUE,int,255,11,0,,,,1
editors,id,ID,FALSE,TRUE,int,10,1,,,,,1
editors,name,Name,FALSE,TRUE,varchar,255,2,,,,,1
editors,portrait,Portrait,FALSE,FALSE,file_image,,3,,,,,1
editors,role,Role,FALSE,TRUE,varchar,255,4,,,,,1
editors,biography,Biography,FALSE,FALSE,html,,5,,,,,2
editors,category,Category,TRUE,TRUE,int,10,6,1,editors_cateogries,one,,3
editors,active,Display on webpage,FALSE,TRUE,boolean,,7,,,,,1
editors,order,Order (Bigger to smaller),FALSE,TRUE,int,255,8,0,,,,1
editors_cateogries,id,ID,FALSE,TRUE,int,10,1,,,,,1
editors_cateogries,name,Name,FALSE,TRUE,varchar,255,2,,,,,1
contact_categories,id,ID,FALSE,TRUE,int,10,1,,,,,1
contact_categories,name,Name,FALSE,TRUE,varchar,255,2,,,,,1
contact,id,ID,FALSE,TRUE,int,10,1,,,,,1
contact,name,Name,FALSE,TRUE,varchar,255,2,,,,,1
contact,email,Email,FALSE,TRUE,varchar,255,3,,,,,1
contact,category,Category,FALSE,TRUE,int,10,4,,contact_categories,one,,1
contact,type,Type,FALSE,TRUE,varchar,255,5,,,,,1
consulate,id,ID,FALSE,TRUE,int,10,1,,,,,1
consulate,location,Location,FALSE,TRUE,varchar,255,2,,,,,1
consulate,phone,Phone number,FALSE,TRUE,varchar,255,3,,,,,1
consulate,fax,Fax number,FALSE,TRUE,varchar,255,4,,,,,1
consulate,instagram,Instagram link,FALSE,TRUE,varchar,255,5,,,,,1
consulate,facebook,Facebook link,FALSE,TRUE,varchar,255,6,,,,,1
consulate,twitter,Twitter link,FALSE,TRUE,varchar,255,7,,,,,1
about,id,ID,FALSE,TRUE,int,10,1,,,,,1
about,about,Text,FALSE,FALSE,html,,2,,,,,2
about,Image,Image,FALSE,TRUE,file_image,,3,,,,,1
